,发表时间,转发数量,内容,点赞数,评论数
272,2019-11-23,2564,"时代少年团超话 #时代少年团出道&新歌首唱会#
直播正式开始！
#时代少年团新歌太冒险#两首新歌舞台首秀即将为你呈现！

直播地址：
@爱奇艺娱乐 网页链接",42536,2577
273,2019-11-23,1741,"时代少年团超话 #时代少年团出道&新歌首唱会#
MISSION TNT 倒计时 1h
@时代少年团队长-马嘉祺

直播地址：
@爱奇艺娱乐 网页链接",21272,1748
274,2019-11-23,2467,"时代少年团超话 #时代少年团出道&新歌首唱会#
MISSION TNT 倒计时 2h
@时代少年团-丁程鑫

直播地址：
@爱奇艺娱乐 网页链接",24977,2323
275,2019-11-23,2917,"时代少年团超话 #时代少年团出道&新歌首唱会#
MISSION TNT 倒计时 3h
@时代少年团-宋亚轩

直播地址：
@爱奇艺娱乐 网页链接",21097,2173
276,2019-11-23,1573,"时代少年团超话 #时代少年团出道&新歌首唱会#
MISSION TNT 倒计时 4h
@时代少年团-刘耀文

直播地址：
@爱奇艺娱乐 网页链接",16395,2298
277,2019-11-23,1691,"时代少年团超话 #时代少年团出道&新歌首唱会#
MISSION TNT 倒计时 5h
@时代少年团-张真源

直播地址：
@爱奇艺娱乐 网页链接",11510,1906
278,2019-11-23,3489,"时代少年团超话 #时代少年团出道&新歌首唱会#
MISSION TNT 倒计时 6h
@时代少年团-严浩翔

直播地址：
@爱奇艺娱乐 网页链接",14594,1779
279,2019-11-23,1838,"时代少年团超话 #时代少年团出道&新歌首唱会#
MISSION TNT 倒计时 7h
@时代少年团-贺峻霖

直播地址：
@爱奇艺娱乐 网页链接",13444,1544
280,2019-11-23,3398,"时代少年团超话 #时代少年团出道&新歌首唱会#
MISSION TNT 倒计时 8h！

直播地址：
@爱奇艺娱乐 网页链接",54097,2597
281,2019-11-23,4600,"时代少年团超话#时代少年团新歌太冒险# 出道第二支单曲《无尽的冒险》预告海报，歌曲将在首唱会上首次惊喜公开！
「狂风暴雨也要陪你走更远
一起航向梦闪耀的彼岸」
漫长征途 星河璀璨
18:30🗺今晚就见！ 绿洲",69517,3348
282,2019-11-22,5049,"时代少年团超话#时代少年团出道&新歌首唱会#
彩排花絮来啦！
MISSION TNT
为你解锁中💥 时代少年团的微博视频",70991,4042
283,2019-11-22,94,TF家族官网域暂使用临时域名进行全部服务，谢谢等待与谅解。,12573,545
284,2019-11-22,157444,"时代少年团超话 #时代少年团出道&新歌首唱会#倒计时一天⌛
首支单曲《全校通报》正式上线！
拒绝误解 让我们悄悄变得更强大
放肆成长 让藏在心底的梦想发光
唱出少年们的成长宣言！

QQ音乐：全校通报
酷狗音乐：时代少年团全校通报
酷我音乐：网页链接
咪咕音乐： ...全文",88472,4854
285,2019-11-21,5730,时代少年团超话💥#时代少年团出道&新歌首唱会# 粉丝名甄选过程来啦！来看看七位成员的选择吧！ 时代少年团的微博视频,70717,3678
286,2019-11-21,1105,时代少年团超话 12月6日，和我们一起点燃冬日热情放声尖叫吧,26069,1166
287,2019-11-21,5941,"时代少年团超话#时代少年团出道&新歌首唱会# 倒计时两天！⌛
首支单曲《全校通报》预告海报
「我们没那么不懂事 只用发光代替解释」
我们正在 悄悄长大
11.22 10:00 正式上线！🎵
一起期待11.23的舞台首秀吧💥",70181,3767
288,2019-11-20,689,时代少年团—独家直播揭秘11月23日出道&新歌首唱会@克拉克拉APP#时代少年团粉丝圈##空降直播间#KilaKila:时代少年团的直播间,23393,11483
