,发表时间,转发数量,内容,点赞数,评论数
82,05-04,30280,"时代少年团超话💥#元气爱豆的日常#
TNT舞台特别企划之「七天Cover云舞台挑战」

EXO《破风（The Eve）》Cover个人直拍
by @时代少年团-宋亚轩

时代少年团的微博视频",140025,24692
83,05-04,25877,"时代少年团超话💥#元气爱豆的日常#
TNT舞台特别企划之「七天Cover云舞台挑战」

EXO《破风（The Eve）》Cover个人直拍
by @时代少年团-丁程鑫

时代少年团的微博视频",142218,26548
84,05-04,19097,"时代少年团超话💥#元气爱豆的日常#
TNT舞台特别企划之「七天Cover云舞台挑战」

EXO《破风（The Eve）》Cover个人直拍
by @时代少年团队长-马嘉祺

时代少年团的微博视频",125335,18471
85,05-03,34577,"时代少年团超话💥#元气爱豆的日常#
TNT舞台特别企划之「七天Cover云舞台挑战」
截止至18：30，最终结果公布
舞台A 《英雄；Kick It》
平台播放量656w（48%）；官网票数4968（36%）；总分数84

舞台B 《破风（The Eve）》
平台播放量 699w（52%）；官网票数8712（64%）；总分数116

少年们主导的 ...全文",391398,40063
86,05-02,32271,"时代少年团超话💥#元气爱豆的日常#

少年们拍摄间隙的游戏时间
更多舞台相关内容请期待纪录片哦

TNT舞台特别企划之「七天Cover云舞台挑战」游戏花絮篇

时代少年团的微博视频",399212,34622
87,05-02,62813,挑战收到，这就来！不过这五口挑战难度还真不小，flag这是又要倒啊……少年们的flag我们来守护，爆米花们收到请回答！,295979,18499
88,05-01,69903,"时代少年团超话💥#元气爱豆的日常#
TNT舞台特别企划之「七天Cover云舞台挑战」

舞台B
EXO《破风（The Eve）》
Cover by 时代少年团

用光亮驱散黑暗，以风声打破沉寂。风声中的坚定，请仔细听。
（成员个人直拍将在结果公布后上线）

时代少年团的微博视频",517666,60521
89,05-01,66446,"时代少年团超话💥#元气爱豆的日常#
TNT舞台特别企划之「七天Cover云舞台挑战」

舞台A
NCT 127《Intro》+《英雄；Kick It》
Cover by 时代少年团

我们不能飞檐走壁，却也一样为了信仰将汗水洒尽，那就试试吧，去成为英雄。
（成员个人直拍将在结果公布后上线）

时代少年团的微博视频",518008,72206
90,05-01,43938,"时代少年团超话💥#元气爱豆的日常#

光影交界处
灼灼少年心

TNT舞台特别企划之「七天Cover云舞台挑战」舞台照",506571,57626
91,04-30,33335,"时代少年团超话💥#元气爱豆的日常#
TNT舞台特别企划之「七天Cover云舞台挑战」预告片

五月一日 敬请期待 时代少年团的微博视频",370045,29360
92,04-30,33681,"时代少年团超话💥#元气爱豆的日常#
“只有不停下，才算是在往前走”
“如果喜欢，那就去做，如果去做，那就尽全力”

TNT舞台特别企划之「七天Cover云舞台挑战」
倒计时一天",307599,30634
93,04-29,12571,"时代少年团超话💥#元气爱豆的日常#
TNT舞台特别企划之「七天Cover云舞台挑战」
少年意气
眉目星河

Day 2 —— 倒计时篇",464359,26537
94,04-28,31518,"时代少年团超话💥#元气爱豆的日常#
TNT舞台特别企划之「七天Cover云舞台挑战」
若说最期待
那便是相见的时刻

Day 3 —— 倒计时篇",311811,25563
95,04-27,28955,"时代少年团超话💥#元气爱豆的日常#
TNT舞台特别企划之「七天Cover云舞台挑战」
主导不一，风格各异
Who is Producer？
请相信直觉，或顺从心选

选择—— 挑战规则篇",352713,35131
96,04-26,29518,"时代少年团超话💥#元气爱豆的日常#

休息时间奇奇怪怪小游戏之情绪游戏
情绪命题摄影，能难倒少年们吗？请看 时代少年团的微博视频",320837,28708
